Data;Valor;Descrição
01/12/2018;88.371,24;Decrição produto 7701
31/08/2019;17.101,72;Decrição produto 8653
12/02/2019;94.659,41;Decrição produto 6155
20/08/2019;45.853,72;Decrição produto 0539
14/08/2018;75.902,92;Decrição produto 5375
26/08/2019;35.707,7;Decrição produto 7112
13/07/2018;33.581,80;Decrição produto 1952
15/02/2019;24.729,38;Decrição produto 2087
26/11/2018;75.833,54;Decrição produto 3777
25/09/2018;91.899,6;Decrição produto 8776
20/03/2019;96.798,45;Decrição produto 1951
03/11/2018;8.811,0;Decrição produto 3096
30/08/2018;77.986,92;Decrição produto 3396
14/06/2019;58.332,17;Decrição produto 6634
31/01/2019;78.494,89;Decrição produto 6632
10/06/2018;33.641,16;Decrição produto 2642
18/12/2018;93.353,66;Decrição produto 8525
06/08/2018;54.807,18;Decrição produto 3162
18/04/2019;65.383,76;Decrição produto 6393
17/12/2018;61.762,43;Decrição produto 2166
02/02/2019;31.155,56;Decrição produto 4215
22/08/2019;5.434,93;Decrição produto 1401
28/08/2019;59.975,36;Decrição produto 0084
11/08/2018;64.311,14;Decrição produto 1400
11/05/2019;19.263,13;Decrição produto 1465
06/09/2018;95.655,63;Decrição produto 4704
22/06/2019;45.319,34;Decrição produto 0245
27/08/2018;51.818,41;Decrição produto 7357
12/06/2019;40.688,35;Decrição produto 0330
25/10/2018;90.899,31;Decrição produto 0515
31/03/2019;19.447,21;Decrição produto 4230
14/06/2018;6.384,20;Decrição produto 9150
17/06/2018;71.906,14;Decrição produto 6303
12/09/2018;44.313,75;Decrição produto 8300
24/11/2018;79.204,48;Decrição produto 5589
05/03/2019;61.205,79;Decrição produto 8712
27/05/2018;60.314,42;Decrição produto 0237
06/09/2019;93.315,63;Decrição produto 6200
28/07/2019;53.296,65;Decrição produto 6162
20/05/2018;86.517,79;Decrição produto 6155
01/10/2018;11.926,18;Decrição produto 0069
02/09/2019;33.260,7;Decrição produto 2775
05/05/2019;88.765,88;Decrição produto 3700
18/06/2019;74.851,79;Decrição produto 3880
04/01/2019;34.546,99;Decrição produto 3273
21/07/2018;23.816,25;Decrição produto 5873
13/11/2018;88.971,20;Decrição produto 8793
09/09/2019;82.447,20;Decrição produto 3230
02/04/2019;40.889,22;Decrição produto 6114
01/07/2019;15.463,6;Decrição produto 4722
31/01/2019;50.617,62;Decrição produto 0787
01/05/2019;10.628,45;Decrição produto 7822
06/07/2018;75.456,2;Decrição produto 7963
01/06/2018;72.190,45;Decrição produto 8981
03/06/2018;20.681,58;Decrição produto 1185
08/09/2019;56.485,30;Decrição produto 9009
28/10/2018;52.633,14;Decrição produto 2445
22/07/2018;22.240,29;Decrição produto 3971
23/05/2019;53.827,94;Decrição produto 2879
18/08/2018;41.183,73;Decrição produto 9562
12/03/2019;0.733,10;Decrição produto 5769
05/10/2018;59.530,60;Decrição produto 3204
25/05/2018;98.958,55;Decrição produto 3803
27/05/2018;9.426,18;Decrição produto 6381
13/06/2018;18.255,25;Decrição produto 5764
12/04/2019;63.243,8;Decrição produto 1100
02/08/2018;24.510,6;Decrição produto 9610
19/08/2019;60.756,14;Decrição produto 5151
21/10/2018;34.338,33;Decrição produto 2625
03/05/2019;41.874,67;Decrição produto 5165
20/06/2019;27.899,8;Decrição produto 1542
04/06/2018;16.950,23;Decrição produto 4033
31/07/2018;76.725,63;Decrição produto 4397
22/11/2018;44.491,40;Decrição produto 2194
22/01/2019;58.585,14;Decrição produto 2129
04/12/2018;38.570,79;Decrição produto 8417
30/11/2018;10.645,46;Decrição produto 8209
26/12/2018;83.542,17;Decrição produto 2349
11/07/2018;71.704,83;Decrição produto 3578
05/07/2019;24.677,91;Decrição produto 9093
09/06/2019;62.973,20;Decrição produto 8084
06/05/2019;70.142,94;Decrição produto 2224
30/03/2019;63.135,52;Decrição produto 6271
29/12/2018;33.120,6;Decrição produto 7366
03/11/2018;59.345,41;Decrição produto 2740
13/02/2019;22.500,41;Decrição produto 8367
01/07/2018;14.573,0;Decrição produto 7484
01/09/2018;59.715,69;Decrição produto 1687
20/08/2019;72.591,63;Decrição produto 5159
01/08/2019;73.793,76;Decrição produto 3719
13/10/2018;72.662,98;Decrição produto 4928
30/03/2019;10.615,91;Decrição produto 3420
09/01/2019;41.674,53;Decrição produto 8132
06/01/2019;66.400,32;Decrição produto 5357
18/12/2018;93.429,13;Decrição produto 0799
26/03/2019;78.243,47;Decrição produto 4278
11/01/2019;68.708,63;Decrição produto 0281
14/04/2019;41.432,42;Decrição produto 6966
12/08/2018;38.709,13;Decrição produto 6725
26/08/2018;75.622,42;Decrição produto 0426
03/05/2018;81.563,94;Decrição produto 3914
30/05/2019;73.985,46;Decrição produto 3423
20/02/2019;20.418,89;Decrição produto 5624
14/02/2019;95.458,75;Decrição produto 8855
03/08/2019;37.662,78;Decrição produto 5207
22/08/2019;50.226,14;Decrição produto 1740
19/02/2019;82.521,19;Decrição produto 1739
30/10/2018;92.564,12;Decrição produto 1656
11/12/2018;25.801,61;Decrição produto 9748
30/01/2019;56.361,4;Decrição produto 1957
27/07/2019;24.696,10;Decrição produto 4632
17/07/2018;31.602,69;Decrição produto 8232
01/09/2019;8.517,5;Decrição produto 0126
18/12/2018;11.700,11;Decrição produto 3975
28/09/2018;73.823,88;Decrição produto 1430
06/08/2019;0.259,25;Decrição produto 2490
05/09/2018;48.767,29;Decrição produto 1577
27/07/2019;28.955,56;Decrição produto 6797
09/06/2018;65.305,10;Decrição produto 8765
07/09/2018;58.892,47;Decrição produto 2054
10/05/2019;45.210,81;Decrição produto 4268
01/05/2019;27.426,40;Decrição produto 3289
17/11/2018;8.700,2;Decrição produto 7575
10/08/2019;10.179,16;Decrição produto 5649
29/11/2018;91.408,1;Decrição produto 9477
29/09/2018;97.122,39;Decrição produto 3360
07/06/2019;45.956,65;Decrição produto 5820
14/12/2018;10.633,68;Decrição produto 3535
17/08/2018;63.797,43;Decrição produto 3030
23/08/2019;8.259,10;Decrição produto 8141
29/12/2018;17.596,30;Decrição produto 3653
08/07/2019;37.192,65;Decrição produto 1639
26/11/2018;58.517,67;Decrição produto 2546
03/02/2019;18.506,27;Decrição produto 9981
25/01/2019;37.682,56;Decrição produto 9712
27/01/2019;87.821,10;Decrição produto 7776
10/09/2018;71.188,52;Decrição produto 7444
06/07/2019;62.330,82;Decrição produto 3974
08/09/2018;97.864,13;Decrição produto 4192
13/09/2018;10.331,37;Decrição produto 7571
17/05/2019;13.578,14;Decrição produto 0952
14/01/2019;33.944,19;Decrição produto 5176
24/01/2019;77.258,16;Decrição produto 9722
21/08/2018;57.344,34;Decrição produto 4499
20/10/2018;40.728,27;Decrição produto 6231
31/08/2018;83.748,10;Decrição produto 2623
08/10/2018;50.853,73;Decrição produto 5633
22/09/2018;79.387,5;Decrição produto 7132
24/01/2019;54.677,28;Decrição produto 0875
06/08/2019;15.121,22;Decrição produto 1710
11/08/2019;35.139,32;Decrição produto 4252
21/10/2018;10.306,49;Decrição produto 8249
12/03/2019;86.522,85;Decrição produto 6254
04/07/2019;96.167,74;Decrição produto 5928
09/08/2018;77.207,67;Decrição produto 0941
07/08/2018;17.870,55;Decrição produto 2768
31/01/2019;77.465,92;Decrição produto 1219
12/06/2019;1.509,57;Decrição produto 9957
10/06/2019;89.957,15;Decrição produto 4272
05/12/2018;43.542,50;Decrição produto 4059
20/04/2019;4.746,41;Decrição produto 2382
06/07/2018;55.252,5;Decrição produto 1456
08/05/2018;4.580,31;Decrição produto 4837
06/09/2018;0.333,39;Decrição produto 8972
25/06/2019;54.436,27;Decrição produto 5309
05/04/2019;5.672,70;Decrição produto 5073
19/12/2018;64.418,71;Decrição produto 9048
12/09/2018;35.859,66;Decrição produto 8197
01/08/2018;23.971,76;Decrição produto 5199
03/10/2018;63.489,94;Decrição produto 8207
17/06/2018;44.197,46;Decrição produto 5956
01/08/2019;14.653,39;Decrição produto 9813
16/10/2018;79.619,2;Decrição produto 5383
20/06/2018;31.696,90;Decrição produto 5566
31/07/2018;49.472,28;Decrição produto 5429
17/06/2019;66.998,87;Decrição produto 6521
07/08/2018;61.699,39;Decrição produto 3239
21/09/2018;84.566,11;Decrição produto 0034
31/03/2019;69.686,81;Decrição produto 6974
06/06/2018;21.862,99;Decrição produto 3316
06/11/2018;90.205,9;Decrição produto 7604
24/09/2018;22.560,32;Decrição produto 4650
11/11/2018;34.270,10;Decrição produto 8481
29/06/2019;8.675,10;Decrição produto 1146
26/10/2018;36.157,14;Decrição produto 3628
21/02/2019;88.311,47;Decrição produto 3946
16/07/2018;20.325,88;Decrição produto 4556
30/08/2018;38.437,74;Decrição produto 1694
07/06/2018;72.130,89;Decrição produto 6432
01/04/2019;48.387,53;Decrição produto 2974
04/05/2018;65.169,57;Decrição produto 8666
04/06/2019;22.391,46;Decrição produto 9321
28/11/2018;12.545,0;Decrição produto 2504
24/06/2019;20.432,70;Decrição produto 9073
25/06/2019;96.879,99;Decrição produto 3213
12/10/2018;95.725,1;Decrição produto 2291
03/08/2019;55.948,10;Decrição produto 8266
02/06/2019;14.125,2;Decrição produto 7625
29/11/2018;11.457,12;Decrição produto 8417
26/04/2019;94.164,87;Decrição produto 9836
06/09/2018;11.217,85;Decrição produto 3787
09/07/2019;40.738,15;Decrição produto 4061
05/05/2019;99.638,78;Decrição produto 2349
12/06/2019;36.823,13;Decrição produto 3984
27/06/2019;43.960,69;Decrição produto 6161
29/10/2018;39.537,16;Decrição produto 5733
07/08/2018;8.255,64;Decrição produto 4927
02/03/2019;97.171,30;Decrição produto 2181
08/02/2019;79.582,59;Decrição produto 6274
28/11/2018;70.502,87;Decrição produto 8989
19/10/2018;46.356,60;Decrição produto 1645
16/04/2019;61.733,43;Decrição produto 1452
23/06/2018;43.887,71;Decrição produto 9764
09/06/2018;61.689,91;Decrição produto 3731
19/07/2019;34.157,39;Decrição produto 7742
12/05/2019;13.549,48;Decrição produto 3380
12/04/2019;68.434,29;Decrição produto 2689
16/05/2018;54.619,7;Decrição produto 3349
16/01/2019;68.782,84;Decrição produto 0440
24/06/2018;26.251,57;Decrição produto 2611
19/07/2018;22.147,95;Decrição produto 4428
01/09/2019;88.664,61;Decrição produto 5722
31/07/2019;64.272,23;Decrição produto 9224
23/06/2019;94.950,80;Decrição produto 7246
02/06/2018;9.194,81;Decrição produto 9819
27/07/2018;37.208,87;Decrição produto 2670
31/05/2018;4.772,21;Decrição produto 9952
21/08/2019;86.344,6;Decrição produto 8780
21/02/2019;33.585,20;Decrição produto 6005
19/01/2019;80.171,48;Decrição produto 2405
25/07/2019;11.167,70;Decrição produto 5360
24/05/2019;14.142,20;Decrição produto 7671
28/08/2018;92.470,29;Decrição produto 1197
05/02/2019;34.402,48;Decrição produto 4616
16/05/2019;99.261,24;Decrição produto 2633
22/07/2018;53.671,42;Decrição produto 5903
17/08/2018;12.533,20;Decrição produto 7711
21/11/2018;16.898,53;Decrição produto 1479
30/11/2018;7.209,67;Decrição produto 5248
06/08/2018;71.972,76;Decrição produto 7085
27/06/2019;4.480,18;Decrição produto 1056
20/07/2018;21.726,79;Decrição produto 4008
15/11/2018;74.853,60;Decrição produto 2480
22/08/2018;67.820,40;Decrição produto 0778
22/02/2019;11.343,19;Decrição produto 7617
05/12/2018;34.612,57;Decrição produto 1383
23/01/2019;85.608,19;Decrição produto 5065
05/02/2019;99.177,90;Decrição produto 1965
20/11/2018;10.220,30;Decrição produto 2621
27/08/2018;29.823,82;Decrição produto 5377
11/11/2018;10.430,84;Decrição produto 4504
07/10/2018;75.278,87;Decrição produto 1107
20/07/2018;86.587,76;Decrição produto 6218
28/12/2018;68.265,19;Decrição produto 5983
02/09/2018;56.485,71;Decrição produto 3939
21/05/2019;19.564,47;Decrição produto 1501
13/05/2018;99.264,5;Decrição produto 0109
27/05/2018;85.514,2;Decrição produto 8953
03/08/2019;13.678,27;Decrição produto 8067
07/09/2019;57.673,30;Decrição produto 5315
27/05/2019;56.426,91;Decrição produto 3187
21/12/2018;54.716,11;Decrição produto 7099
14/01/2019;69.352,72;Decrição produto 2869
07/01/2019;51.341,22;Decrição produto 6640
02/08/2019;53.388,42;Decrição produto 8572
23/11/2018;13.510,24;Decrição produto 8608
23/11/2018;40.230,1;Decrição produto 1440
17/11/2018;28.429,45;Decrição produto 9824
24/06/2018;82.303,30;Decrição produto 7085
13/08/2019;30.347,92;Decrição produto 4340
27/03/2019;53.435,86;Decrição produto 1413
07/09/2018;97.366,4;Decrição produto 1919
27/06/2019;61.501,33;Decrição produto 5541
14/07/2018;19.339,54;Decrição produto 0171
17/08/2018;93.519,22;Decrição produto 4720
