Data;Valor;Descrição
22/12/2018;52.926,17;Decrição produto 2432
09/07/2019;51.525,43;Decrição produto 8697
23/07/2018;70.744,27;Decrição produto 5773
21/05/2018;13.138,96;Decrição produto 7859
24/09/2018;46.944,49;Decrição produto 7803
01/02/2019;8.451,54;Decrição produto 2802
07/06/2019;27.434,73;Decrição produto 0354
25/07/2018;32.906,6;Decrição produto 5449
08/09/2018;8.376,68;Decrição produto 5361
02/07/2018;84.904,64;Decrição produto 1018
16/06/2018;13.637,41;Decrição produto 4941
15/11/2018;40.850,44;Decrição produto 5522
27/06/2019;22.103,78;Decrição produto 0298
03/12/2018;13.357,76;Decrição produto 9854
19/05/2019;23.299,40;Decrição produto 2785
17/12/2018;77.268,43;Decrição produto 0136
11/04/2019;25.168,94;Decrição produto 2742
13/06/2018;28.488,58;Decrição produto 3273
09/04/2019;79.570,73;Decrição produto 6345
05/05/2019;34.602,41;Decrição produto 0460
25/11/2018;13.231,51;Decrição produto 9869
25/06/2018;51.812,94;Decrição produto 0627
01/07/2019;10.818,37;Decrição produto 4203
06/11/2018;10.588,75;Decrição produto 9615
27/07/2018;99.550,32;Decrição produto 6142
31/05/2018;28.424,6;Decrição produto 9342
03/05/2018;80.274,14;Decrição produto 1542
04/11/2018;95.487,59;Decrição produto 9029
11/08/2018;70.710,81;Decrição produto 2156
26/06/2019;57.222,31;Decrição produto 5978
09/06/2019;18.879,98;Decrição produto 6729
11/02/2019;55.536,87;Decrição produto 1344
21/08/2019;46.447,13;Decrição produto 3367
13/10/2018;18.752,21;Decrição produto 9210
24/05/2018;27.901,59;Decrição produto 5318
06/12/2018;30.554,23;Decrição produto 6872
20/01/2019;78.390,30;Decrição produto 9120
30/01/2019;21.731,60;Decrição produto 0324
03/12/2018;70.658,82;Decrição produto 6862
27/07/2018;94.314,48;Decrição produto 3712
25/09/2018;45.387,19;Decrição produto 2148
26/05/2019;26.896,28;Decrição produto 6158
18/09/2018;33.891,10;Decrição produto 5293
11/06/2019;78.513,20;Decrição produto 9210
25/10/2018;0.566,81;Decrição produto 6951
30/04/2019;6.895,44;Decrição produto 7785
23/07/2018;74.856,24;Decrição produto 5009
12/06/2018;14.145,38;Decrição produto 2221
23/03/2019;80.965,8;Decrição produto 3869
04/04/2019;6.617,86;Decrição produto 2880
16/03/2019;28.811,44;Decrição produto 2903
03/09/2018;96.232,59;Decrição produto 3911
05/10/2018;29.157,55;Decrição produto 2396
03/10/2018;60.770,77;Decrição produto 0777
23/11/2018;6.330,88;Decrição produto 3356
19/08/2018;86.414,93;Decrição produto 0963
30/11/2018;67.284,83;Decrição produto 5510
10/06/2019;30.174,92;Decrição produto 3043
27/06/2019;47.279,38;Decrição produto 3326
30/07/2018;13.996,86;Decrição produto 8676
17/09/2018;66.550,80;Decrição produto 7767
06/07/2018;14.290,1;Decrição produto 5120
18/02/2019;1.877,81;Decrição produto 4318
08/08/2019;63.113,49;Decrição produto 3239
14/05/2019;3.333,59;Decrição produto 8289
02/02/2019;98.145,9;Decrição produto 2289
03/12/2018;50.759,70;Decrição produto 6818
29/07/2018;75.468,87;Decrição produto 2972
23/03/2019;95.590,11;Decrição produto 0318
03/11/2018;34.983,83;Decrição produto 8907
30/12/2018;77.900,62;Decrição produto 5639
28/04/2019;72.644,71;Decrição produto 5337
10/06/2019;80.646,94;Decrição produto 2121
26/07/2018;12.578,66;Decrição produto 4381
02/02/2019;28.548,95;Decrição produto 2991
25/05/2019;0.293,55;Decrição produto 2156
08/07/2019;45.245,65;Decrição produto 4118
23/09/2018;43.505,58;Decrição produto 2729
15/11/2018;60.303,33;Decrição produto 3109
09/11/2018;95.136,62;Decrição produto 4075
12/08/2018;90.154,99;Decrição produto 8605
28/07/2019;99.187,61;Decrição produto 0733
25/08/2019;71.527,77;Decrição produto 3263
23/07/2019;73.656,16;Decrição produto 9084
31/07/2019;35.301,33;Decrição produto 3044
07/02/2019;77.768,4;Decrição produto 4651
20/01/2019;99.571,43;Decrição produto 9057
07/05/2019;39.920,32;Decrição produto 5600
09/01/2019;46.250,31;Decrição produto 2860
03/12/2018;85.896,26;Decrição produto 5700
03/07/2019;68.734,95;Decrição produto 7626
30/06/2018;67.575,19;Decrição produto 0591
04/09/2019;11.951,38;Decrição produto 2568
10/10/2018;6.972,76;Decrição produto 9400
16/06/2018;46.892,43;Decrição produto 2585
20/06/2018;78.677,40;Decrição produto 5233
08/07/2019;95.491,37;Decrição produto 4059
14/03/2019;98.365,59;Decrição produto 7965
23/07/2019;42.427,32;Decrição produto 0871
17/10/2018;41.942,50;Decrição produto 6250
28/07/2019;55.716,67;Decrição produto 2796
07/05/2018;41.418,42;Decrição produto 0567
10/06/2018;23.661,49;Decrição produto 0993
12/05/2018;32.691,47;Decrição produto 3912
25/02/2019;5.190,79;Decrição produto 6618
14/08/2018;78.486,52;Decrição produto 5317
18/05/2018;32.624,28;Decrição produto 0598
19/06/2018;61.593,23;Decrição produto 1836
28/06/2019;6.549,46;Decrição produto 4537
05/02/2019;59.701,61;Decrição produto 2467
27/04/2019;61.110,70;Decrição produto 3609
07/05/2019;10.188,6;Decrição produto 1170
07/06/2018;14.806,81;Decrição produto 3043
30/10/2018;5.286,33;Decrição produto 7382
14/05/2018;78.327,79;Decrição produto 8709
10/08/2018;11.251,42;Decrição produto 6744
26/04/2019;80.635,66;Decrição produto 1776
15/10/2018;40.874,94;Decrição produto 8866
07/09/2018;86.246,59;Decrição produto 3367
19/03/2019;82.391,43;Decrição produto 2089
29/08/2018;44.907,85;Decrição produto 7495
29/08/2018;65.281,71;Decrição produto 5860
19/05/2018;24.648,72;Decrição produto 0396
